run,experiment,fold,status,best_epoch,selection_score,mean_tissue_dice_scored_1_to_5,dice_nuclei_foreground,mean_nuclei_class_dice_on_nuclei_pixels
E1,E1_UNIv2_frozen,0,ok,19.0,0.6460982773337606,0.5542339462112472,0.7857765360733548,0.5982843497166799
E1,E1_UNIv2_frozen,1,ok,17.0,0.689700621653231,0.6440457043984319,0.7915703377021848,0.6334858228590765
E1,E1_UNIv2_frozen,2,ok,19.0,0.6707594746604711,0.6165109861089244,0.7959914964068493,0.5997759414656395
E2,E2_ConvNeXtV2_atto_frozen,0,ok,19.0,0.3306642822396586,0.3439914485275384,0.448329486632454,0.1996719115589832
E2,E2_ConvNeXtV2_atto_frozen,1,ok,18.0,0.3741476545169911,0.418990834786424,0.4631139405280607,0.2403381882364885
E2,E2_ConvNeXtV2_atto_frozen,2,ok,20.0,0.3504716552459981,0.3493973093113362,0.4765004950889147,0.2255171613377435
E3,E3_Virchow2_frozen,0,ok,19.0,0.6547724566474434,0.5995304289220478,0.7742822051946605,0.5905047358256219
E3,E3_Virchow2_frozen,1,ok,15.0,0.6851424333764141,0.6468209124278819,0.7843239783777465,0.624282409323614
E3,E3_Virchow2_frozen,2,ok,19.0,0.6493499444745704,0.6176596838236201,0.7878635225285231,0.5425266270715678
E4,E4_ConvNeXtV2_atto_plus_UNIv2_frozen,0,ok,16.0,0.5283037903138353,0.5434249594862641,0.5482838587894654,0.4932025526657764
E4,E4_ConvNeXtV2_atto_plus_UNIv2_frozen,1,ok,20.0,0.6040477097951714,0.6624328021019279,0.5503546499031027,0.5993556773804835
E4,E4_ConvNeXtV2_atto_plus_UNIv2_frozen,2,ok,17.0,0.5569600451876545,0.6149393966053298,0.5777855016633939,0.4781552372942396
E5,E5_ConvNeXtV2_atto_plus_Virchow2_frozen,0,ok,19.0,0.5425580913025393,0.6021537343102301,0.5565948581411843,0.4689256814562035
E5,E5_ConvNeXtV2_atto_plus_Virchow2_frozen,1,ok,19.0,0.5524783937296952,0.5801557238009566,0.5585440242113079,0.5187354331768211
E5,E5_ConvNeXtV2_atto_plus_Virchow2_frozen,2,ok,19.0,0.5418793089233119,0.6157276379722213,0.5796190500322007,0.4302912387655137
E6,E6_UNIv2_lora,0,missing,,,,,
E6,E6_UNIv2_lora,1,ok,15.0,0.7148461772008371,0.6827491293305782,0.8084551483261407,0.6533342539457925
E6,E6_UNIv2_lora,2,missing,,,,,
E7,E7_Virchow2_lora,0,missing,,,,,
E7,E7_Virchow2_lora,1,missing,,,,,
E7,E7_Virchow2_lora,2,missing,,,,,
